2023-03-28 08:54:15,601 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 8.0.0.Final
2023-03-28 08:54:15,667 [restartedMain] INFO  [com.ikikyou.practice.PracticeApplication] StartupInfoLogger.java:51 - Starting PracticeApplication using Java 17.0.6 with PID 7468 (D:\java\internship_practice_system\practice\target\classes started by 25726 in D:\java\internship_practice_system\practice)
2023-03-28 08:54:15,668 [restartedMain] INFO  [com.ikikyou.practice.PracticeApplication] SpringApplication.java:632 - No active profile set, falling back to 1 default profile: "default"
2023-03-28 08:54:15,837 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] DeferredLog.java:250 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-28 08:54:15,838 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] DeferredLog.java:250 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-28 08:54:20,733 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:108 - Tomcat initialized with port(s): 8080 (http)
2023-03-28 08:54:20,773 [restartedMain] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-28 08:54:20,775 [restartedMain] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2023-03-28 08:54:20,776 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-03-28 08:54:21,080 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2023-03-28 08:54:21,081 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:291 - Root WebApplicationContext: initialization completed in 5242 ms
